	LABEL	SENTENCE
0	其它#其它	(#‵′)凸
1	其它#其它	……
2	其它#其它	你哈
3	其它#其它	你好漂亮
4	其它#其它	你猜
5	其它#其它	你能帮我
6	其它#其它	又挂了………………
7	其它#其它	发过来看下
8	其它#其它	号码
9	其它#其它	唱首歌把
10	其它#其它	在家
11	其它#其它	在线
12	其它#其它	在聊啊
13	其它#其它	年后
14	其它#其它	强行卖得好
15	其它#其它	我
16	其它#其它	我又来了
17	其它#其它	我回来了
18	其它#其它	我好像没提什么要求吧，哥们儿
19	其它#其它	我想买眼镜
20	其它#其它	我想她
21	其它#其它	我想我想的到广告的工作呢
22	其它#其它	我想拉星期可以得夜情下
23	其它#其它	我是土豪
24	其它#其它	我是语文乐
25	其它#其它	我来了
26	其它#其它	我要到断电灌一站的
27	其它#其它	我说我很牛逼
28	其它#其它	换个话题把
29	其它#其它	收费车砖头
30	其它#其它	收音机
31	其它#其它	放入
32	其它#其它	散心
33	其它#其它	方法
34	其它#其它	热水器坏了
35	其它#其它	现在
36	其它#其它	睡不着
37	其它#其它	绯闻绯闻
38	其它#其它	语言
39	其它#其它	那要怎样说呢
40	其它#其它	门牙
41	其它#捣乱	两线挂着要得堡
42	其它#捣乱	个
43	其它#捣乱	丫丫
44	其它#捣乱	中路我下载的很好迷耍
45	其它#捣乱	他
46	其它#捣乱	仙茂
47	其它#捣乱	仙茂老婆是不是个男人？
48	其它#捣乱	会让路人眼前一亮的
49	其它#捣乱	你
50	其它#捣乱	你不挽留下我吗
51	其它#捣乱	你，好坏哦！
52	其它#捣乱	别这样说嘛！嘻嘻，开玩笑的。
53	其它#捣乱	南
54	其它#捣乱	吃饭
55	其它#捣乱	和肖相马晓笛的手机号
56	其它#捣乱	您好，想买什么手机？
60	其它#捣乱	您好，欢迎光临！
57	其它#捣乱	抢劫
58	其它#捣乱	选择一种兴趣，测测你在朋友眼里的形象
59	其它#捣乱	选择一种手机，测测你在朋友眼里的形象
61	其它#骂人	你好逗比
62	其它#骂人	你妈逼
63	其它#骂人	你有病？
64	其它#骂人	傻逼啊你
65	其它#骂人	叼你老母
66	其它#骂人	妈的
67	其它#骂人	妈逼
68	其它#骂人	干死你
69	其它#骂人	我插
70	其它#骂人	我问你麻痹
71	其它#骂人	擦
72	其它#骂人	有病
73	其它#骂人	有病，不买了
74	其它#骂人	混蛋
75	其它#骂人	滚
76	其它#骂人	滚开
77	其它#骂人	滚犊子
78	其它#骂人	滚蛋
79	其它#骂人	翻滚吧牛宝宝
80	其它#骂人	臭鹏说你傻逼了
81	其它#骂人	草
82	其它#骂人	靠
83	导购#不成交	不买了
84	导购#不成交	不买了咯
85	导购#不成交	不买了，不会
86	导购#不成交	不想买了
87	导购#不成交	不想买了···谢谢···
88	导购#不成交	不看了
89	导购#不成交	好吧我不买了
90	导购#不成交	好吧我不在你这里买手机了
91	导购#不成交	好吧那么我不买了
92	导购#不成交	好吧那我换家店了
93	导购#不成交	好的我还是不买了
94	导购#不成交	并不想买
95	导购#不成交	我不买了
96	导购#不成交	我不买手机
97	导购#不成交	我不想买了
98	导购#不成交	我不想买了额
99	导购#不成交	我不想买手机了
100	导购#不成交	我不是很想买了
101	导购#不成交	真的不买
102	导购#不成交	算了我不买了
103	导购#不成交	算了我还是不买了
104	导购#不成交	算了，不买了
105	导购#不成交	那不买了
106	导购#不理解	不好意思，你刚才说的话,我还听不懂。能换个说法吗，亲？
107	导购#不理解	听不懂
108	导购#不理解	啥意思
109	导购#不理解	我听不懂你说的话
110	导购#开始	买个手机
111	导购#开始	买台手机玩玩
112	导购#开始	买手机
113	导购#开始	买手机呢
114	导购#开始	买手机咯
115	导购#开始	买手机啊
116	导购#开始	买手机喽
117	导购#开始	什么手机
118	导购#开始	什么手机比较好
119	导购#开始	你好 我想要买手机
120	导购#开始	你好我想买手机
121	导购#开始	你好我要买手机
122	导购#开始	你好，我是来买手机的
123	导购#开始	你好，请问有什么手机
124	导购#开始	你好，这里有什么手机卖吗
125	导购#开始	你好，这里有什么手机卖的
126	导购#开始	你帮我买手机吗
127	导购#开始	你有什么好手机介绍？
128	导购#开始	你有什么手机介绍？
129	导购#开始	你这有什么手机卖
130	导购#开始	你这里是不是有手机卖？
131	导购#开始	你这里是卖手机的吗
132	导购#开始	你这里有什么卖的
133	导购#开始	你这里有什么手机
134	导购#开始	你这里有什么手机卖
135	导购#开始	你这里有卖手机的是吗
136	导购#开始	再来聊聊
137	导购#开始	啊你好请问有什么手机
138	导购#开始	好再聊一聊手机
139	导购#开始	好吧，我来买手机
140	导购#开始	想买一台手机
141	导购#开始	想买手机
142	导购#开始	想买部手机
143	导购#开始	我们继续把
144	导购#开始	我们继续聊
145	导购#开始	我们聊手机
146	导购#开始	我们说点什么好
147	导购#开始	我们还是说说手机不
148	导购#开始	我再来一次
149	导购#开始	我又想买手机了
150	导购#开始	我可以挑什么
151	导购#开始	我想买一款手机
152	导购#开始	我想买一部手机
153	导购#开始	我想买手机
154	导购#开始	我想买手机啊
155	导购#开始	我想换手机
156	导购#开始	我想看看你这里的手机
157	导购#开始	我想看看手机
158	导购#开始	我想给我妈妈买一部手机
159	导购#开始	我想要买手机
160	导购#开始	我是买手机的
161	导购#开始	我是来买手机的
162	导购#开始	我来买手机吧
163	导购#开始	我要买几款手机
164	导购#开始	我要买手机
165	导购#开始	我要买手机呀
166	导购#开始	我要买手机啊
167	导购#开始	我要手机
168	导购#开始	我要看看手机
169	导购#开始	我说的是我需要换一部新手机了
170	导购#开始	我问你有什么类型的手机
171	导购#开始	手机
172	导购#开始	手机有什么东西聊？
173	导购#开始	是聊手机
174	导购#开始	有什么
175	导购#开始	有什么好介绍的
176	导购#开始	有什么手机
177	导购#开始	有什么手机介绍
178	导购#开始	有什么手机卖
179	导购#开始	有什么手机可以买？
180	导购#开始	有什么手机可以介绍
181	导购#开始	有什么手机啊
